,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,24243,12.5,-1.3,9,84,2,8,-1,-72,-18,-179,90.0,97.5,105.0,105.0,82.5,45.38215994854279,38.1286185181722,33.089462340074896,32.6967990597084,14.0759557300051,20.9403938807488,10.6355500227128,7.93736600023986,21.390117390770303,7.927669458852019
1,24244,12.65,-1.3,9,85,2,-79,5,-19,-19,-7,97.5,90.0,105.0,105.0,67.5,49.7344510123924,39.9518387024511,30.2711007142078,31.3034331108921,22.5146432649046,15.1497901051697,12.283077768799801,10.6680065213009,12.844261410634902,16.0645607434791
2,24245,12.8,-1.3,9,86,1,-83,7,83,-96,-4,97.5,90.0,82.5,105.0,67.5,50.0411605173672,31.7361500444771,20.5782270518376,17.9554613070968,10.806097290875499,17.5561632486986,17.031115990726,7.25891155853926,11.148777911907999,7.39068085576313
3,24246,12.95,-1.3,9,87,1,-84,5,85,-96,-23,97.5,90.0,-90.0,112.5,112.5,52.563319813240604,37.2562194220541,23.2111429603715,21.994234831841602,20.3217371738127,17.409420072555402,19.3303315905912,8.29348331891345,11.374460597251101,16.771814969193002
4,24247,13.1,-1.3,9,88,1,-89,-101,7,-3,-25,97.5,112.5,82.5,75.0,112.5,51.39582061824161,36.6914925123867,32.2743155118292,19.9382122575967,18.482005659535,17.1110631476089,17.4845473912727,22.4969924282173,20.113294533870302,17.4604547025384
5,24248,13.25,-1.3,9,89,1,-90,-103,14,0,-29,90.0,112.5,82.5,90.0,150.0,50.5961340099656,38.7162054668809,28.457604737437702,17.718861269871102,19.8637943500921,17.1207553808176,18.5855155011799,10.5808397349223,16.9492256048314,19.8395062829117
6,24249,13.4,-1.3,9,90,1,-93,-107,-1,92,-29,90.0,112.5,82.5,112.5,112.5,52.5323483327787,42.4068741372844,29.794672291001703,15.1397364312995,17.607848632573898,19.834040039313603,23.9977003111591,15.6919987866466,11.8665212095324,19.6940555005105
7,24083,12.5,-1.45,10,84,2,9,-70,29,-18,-1,82.5,97.5,90.0,112.5,-82.5,48.4872842164124,36.0408057108419,28.5015792121043,31.204464455547498,23.188133799720998,25.1330110673584,10.859605691045001,13.882938283065801,18.2319931528597,14.1310087060129
8,24084,12.65,-1.45,10,85,2,-77,11,-15,-16,-109,97.5,82.5,105.0,105.0,75.0,45.1885650846694,41.442266721776704,34.2577198827968,30.286979315587,22.565948406051103,14.901656250374801,19.627128600370103,13.339042998123698,10.211120191097699,10.5108934289406
9,24085,12.8,-1.45,10,86,1,-82,84,17,5,-19,97.5,97.5,75.0,75.0,105.0,53.175086491120794,37.322839149145004,25.8782148663588,21.1214185885873,13.6560765126137,17.212058672353802,16.0038272280855,18.7645723923122,18.5686057403228,13.9854101040205
10,24086,12.95,-1.45,10,87,1,-83,86,-95,18,-18,97.5,97.5,-90.0,112.5,105.0,52.3830011160585,40.984967260168204,30.5979407876019,32.5019779722304,22.0106541626299,17.5271814288859,18.303556330137397,17.2815955027818,18.2611172045412,23.9121606666933
11,24087,13.1,-1.45,10,88,1,-88,98,-102,10,8,90.0,97.5,112.5,67.5,-90.0,52.928098846274004,30.1909003418039,19.4592623185158,17.8397227959871,8.00103178118621,19.7751031007232,17.918980286811102,13.5967468060076,14.314952652927301,5.22286734520957
12,24088,13.25,-1.45,10,89,1,-90,12,12,-102,-21,90.0,90.0,75.0,112.5,105.0,49.1127756368072,36.0854698450595,30.948789608371396,31.124074560776602,21.4622320604353,20.054814724908198,12.072989889098402,12.2777675097667,22.3210915900382,21.4490290303046
13,24089,13.4,-1.45,10,90,1,-94,-109,93,14,-28,90.0,112.5,82.5,75.0,112.5,48.9246204212961,44.652417718355295,35.9739493659055,23.2491010752759,20.2359726469695,20.4688120051087,24.5899243410639,19.285503520545,21.824236749432,20.1198877408915
14,24090,13.55,-1.45,10,91,1,-96,-111,95,109,-85,82.5,112.5,82.5,112.5,-90.0,52.2288848237233,41.7862916400904,35.071097130254394,26.0567750778965,20.6844445998387,21.902107206382297,23.457352149397302,17.385801117893802,11.4565842151547,7.615804538384
15,24091,13.7,-1.45,10,92,1,-98,-112,98,-87,35,82.5,120.0,82.5,-90.0,45.0,52.828701433612004,43.1859042131371,29.6202671499266,22.3094450310811,19.3431202461279,23.0046986791072,25.2764838956559,19.0634803211551,8.14362697285388,8.11238863677784
16,24092,13.85,-1.45,10,93,1,-103,-117,41,-126,115,75.0,112.5,45.0,97.5,112.5,47.96380430111321,48.3189035207534,26.5047517161776,21.366700906037103,26.1299057093159,18.2003735772603,19.8426066606386,9.31114597329487,10.6220885303486,21.5429415254883
17,24093,14.0,-1.45,10,94,1,-104,-119,-43,-94,103,75.0,120.0,45.0,-82.5,67.5,52.1742590523437,43.679860355281704,37.636668390493604,24.879279514113197,21.8217330947957,24.1334606862615,25.836792053292196,13.688162796314199,11.619277000649701,10.2634835780028
